,product_name,product_price,productDesc,product_img,product_buy
37,Nike,not mentioned ,Downshifter 12 Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-solid-downshifter-12-road-running-shoes/17205438/buy
38,Nike,not mentioned ,Men Air Force Leather Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-air-force-1-07-leather-sneakers/21252102/buy
39,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306914/buy
40,Nike,not mentioned ,Men Jordan One Take 5 PF Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-jordan-one-take-5-pf-basketball-shoes/27306866/buy
41,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306842/buy
42,Nike,not mentioned ,Men Jordan Stay Loyal Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-jordan-stay-loyal-3-sneakers/27306908/buy
43,Nike,not mentioned ,Men Freak 5 Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-freak-5-ep-basketball-shoes/27306912/buy
44,Nike,not mentioned ,Women Court Vision Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-court-vision-low-sneakers/27306932/buy
45,Nike,not mentioned ,Men's Air Force 1 '07 LV8,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-mens-air-force-1-07-lv8/26727588/buy
46,Nike,not mentioned ,Men Court Vision Low Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-court-vision-low-next-nature-sneakers/27306956/buy
47,Nike,not mentioned ,Men Air Max Excee Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-air-max-excee-sneakers/27306894/buy
48,Nike,not mentioned ,Men Impact 4 Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-impact-4-basketball-shoes/27285664/buy
49,Nike,not mentioned ,Men Air Max Alpha Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-air-max-alpha-trainer-5-workout-shoes/26674200/buy
