,product_name,product_price,productDesc,product_img,product_buy
32,mens Quest 4 Platform  ,$67.99,50+ bought in past month,https://m.media-amazon.com/images/I/610FwIIFU3L._AC_UL320_.jpg,https://amazon.com/Nike-Quest-Platform-Running-Shoes/dp/B098P7KWD7/ref=sr_1_45?keywords=nike+shoes&qid=1707572085&sr=8-45
33,Women's Low-Top Track & Field Shoes  ,not mentioned ,100+ bought in past month,https://m.media-amazon.com/images/I/81BrJhy2oTL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-WMNS-White-Black-White/dp/B079QJSHSB/ref=sr_1_46?keywords=nike+shoes&qid=1707572085&sr=8-46
34,womens Court Legacy Next Nature  ,not mentioned ,300+ bought in past month,https://m.media-amazon.com/images/I/71DGoE88cAL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-us_Footwear_Size_System-Numeric-Numeric_9/dp/B09NMJQBFB/ref=sr_1_47?keywords=nike+shoes&qid=1707572085&sr=8-47
35,Women's Gymnastics Shoes Sneaker  ,$158.00,50+ bought in past month,https://m.media-amazon.com/images/I/61ciiHvL-mL._AC_UL320_.jpg,https://amazon.com/Jordan-Women-White-Black-Black-DC0774-101/dp/B0C3JZRLP6/ref=sr_1_48?keywords=nike+shoes&qid=1707572085&sr=8-48
36,"Men's Sneakers, 0  ",$129.99,not mentioned ,https://m.media-amazon.com/images/I/61V57m58UCL._AC_UL320_.jpg,https://amazon.com/Nike-Vapormax-Beige-Black-White/dp/B0BQR794LB/ref=sr_1_49?keywords=nike+shoes&qid=1707572085&sr=8-49
37,mens Lebron Witness 6  ,$109.99,not mentioned ,https://m.media-amazon.com/images/I/71ShF5AFAAL._AC_UL320_.jpg,https://amazon.com/Nike-Basketball-Trainers-Sneakers-Black-Anthracite-Volt/dp/B0BRXDRSY1/ref=sr_1_50?keywords=nike+shoes&qid=1707572085&sr=8-50
38,Men's Flex Control TR3 Sneaker  ,$64.97,not mentioned ,https://m.media-amazon.com/images/I/51EbaPUtTpL._AC_UL320_.jpg,https://amazon.com/Nike-Control-Trainer-White-Dark-Regular/dp/B07RLYXS26/ref=sr_1_51?keywords=nike+shoes&qid=1707572085&sr=8-51
39,Women's Trail Running Shoes  ,not mentioned ,50+ bought in past month,https://m.media-amazon.com/images/I/81t4EtcCfVL._AC_UL320_.jpg,https://amazon.com/NIKE-Womens-Air-Max-Correlate/dp/B0776RSV6N/ref=sr_1_52?keywords=nike+shoes&qid=1707572085&sr=8-52
40,"Men's Air Force 1 '07 ""Hare Space Jam White/Lt Blue Fury-Wht (DJ7998 100)  ",$88.99,100+ bought in past month,https://m.media-amazon.com/images/I/41l1iOm08+L._AC_UL320_.jpg,https://amazon.com/Nike-Mens-Basketball-White-Black/dp/B08Q8R2K15/ref=sr_1_53?keywords=nike+shoes&qid=1707572085&sr=8-53
41,mens Air Jordan 1 Low  ,$109.31,50+ bought in past month,https://m.media-amazon.com/images/I/71wUgTbuPKL._AC_UL320_.jpg,https://amazon.com/Nike-Jordan-Black-Lucky-Green-White-553558-065/dp/B0BZ73LGQ6/ref=sr_1_54?keywords=nike+shoes&qid=1707572085&sr=8-54
42,Women's Air Max Excee Shoes  ,$85.00,not mentioned ,https://m.media-amazon.com/images/I/81oENiqU2ZL._AC_UL320_.jpg,https://amazon.com/Womens-Excee-Sneaker-Sanddrift-Stadium/dp/B0BNJLPSL8/ref=sr_1_55?keywords=nike+shoes&qid=1707572085&sr=8-55
43,Women's Air Max SC Shoes  ,$82.00,not mentioned ,https://m.media-amazon.com/images/I/51hBUP9ntWL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Shoes-Size-Color/dp/B0BLJGLWH5/ref=sr_1_56?keywords=nike+shoes&qid=1707572085&sr=8-56
44,womens Roshe One Running  ,$58.00,100+ bought in past month,https://m.media-amazon.com/images/I/619ZmRdrHHL._AC_UL320_.jpg,https://amazon.com/Womens-Roshe-White-Black-Running/dp/B002UJW0WK/ref=sr_1_57?keywords=nike+shoes&qid=1707572085&sr=8-57
45,Men's Running Shoes  ,$84.98,not mentioned ,https://m.media-amazon.com/images/I/615zuAmxr0L._AC_UL320_.jpg,https://amazon.com/Nike-SYSTM-Running-Shoes-White-Wolf/dp/B0B6FXKBQK/ref=sr_1_58?keywords=nike+shoes&qid=1707572085&sr=8-58
46,mens Air Max Pre-Day Running  ,$99.99,not mentioned ,https://m.media-amazon.com/images/I/519xBk3Ul9L._AC_UL320_.jpg,https://amazon.com/Nike-Pre-Day-Style-Dc9402-Anthracite/dp/B09F671JX6/ref=sr_1_59?keywords=nike+shoes&qid=1707572085&sr=8-59
47,womens Air Winflo 9 Running  ,$59.92,not mentioned ,https://m.media-amazon.com/images/I/71CFhaORTKL._AC_UL320_.jpg,https://amazon.com/Nike-Womens-Winflo-Running-Shoes/dp/B0B6G1GQGG/ref=sr_1_60?keywords=nike+shoes&qid=1707572085&sr=8-60
